@relation trainingSet

@attribute ID numeric
@attribute t1 numeric
@attribute t2 numeric
@attribute t3 numeric
@attribute t4 numeric
@attribute t5 numeric
@attribute t6 numeric
@attribute t7 numeric
@attribute t8 numeric
@attribute t9 numeric
@attribute t10 numeric
@attribute t11 numeric
@attribute t12 numeric
@attribute t13 numeric
@attribute t14 numeric
@attribute t15 numeric
@attribute t16 numeric
@attribute t17 numeric
@attribute t18 numeric
@attribute t19 numeric
@attribute t20 numeric
@attribute t21 numeric
@attribute t22 numeric
@attribute t23 numeric
@attribute t24 numeric
@attribute t25 numeric
@attribute t26 numeric
@attribute t27 numeric
@attribute t28 numeric
@attribute t29 numeric
@attribute t30 numeric
@attribute class {0,1}

@data
11019987,0.15768223,0.06565440,0.02134788,0.84231777,1.00000000,1.00005369,0.00015214,944.0,170.0,21.0,2.13029661,0.36962750,2.04705882,0.23792645,2.00000000,0.00000000,0.99987987,0.00012050,0.99982905,0.00012019,0.99982141,0.00011120,0.99985631,0.00012556,0.99981163,0.00012558,0.99980310,0.00011876,7.12479078,4.90374649,1
11027624,0.15737921,0.06633171,0.02263500,0.84262079,1.00000000,0.99916064,0.00016267,1283.0,216.0,30.0,2.16056118,0.53768680,2.18518519,0.81249670,2.53333333,1.28409069,0.99986406,0.00015932,0.99976083,0.00028780,0.99933607,0.00056567,0.99981970,0.00023403,0.99965541,0.00042663,0.99914029,0.00060968,7.20121140,4.99380544,1
11032227,0.15503015,0.06367221,0.02125721,0.84496985,1.00000000,0.99990916,0.00042954,1171.0,203.0,21.0,2.12382579,0.36387381,2.05911330,0.25587328,2.04761905,0.21295885,0.99947926,0.00015940,0.99930688,0.00015814,0.99913731,0.00014675,0.99938741,0.00021335,0.99922951,0.00020332,0.99907329,0.00016688,7.19731524,5.12535232,1
11037335,0.15509456,0.06464537,0.02159373,0.84490544,1.00000000,0.99996214,0.00022273,1143.0,210.0,32.0,2.16797900,0.44046030,2.11904762,0.35202685,2.09375000,0.29148060,0.99973278,0.00013090,0.99961944,0.00013743,0.99950325,0.00017060,0.99968018,0.00015545,0.99956633,0.00016651,0.99944745,0.00019987,7.25372689,5.05889813,1
11037511,0.15382473,0.06202778,0.02090805,0.84617527,1.00000000,1.00067975,0.00090483,1073.0,173.0,20.0,2.12861137,0.38886126,2.05780347,0.23337144,2.00000000,0.00000000,0.99929606,0.00069471,0.99897922,0.00073769,0.99874476,0.00069828,0.99915249,0.00072456,0.99885117,0.00077756,0.99862315,0.00071989,7.29741777,4.99624047,1
1432789,0.15334304,0.06384972,0.02144494,0.84665696,1.00000000,0.99916569,0.00058209,1067.0,168.0,15.0,2.13683224,0.37496953,2.04166667,0.19982631,2.00000000,0.00000000,0.99938398,0.00031374,0.99917461,0.00035356,0.99894821,0.00026510,0.99926367,0.00035977,0.99907777,0.00037261,0.99887844,0.00025935,7.23994148,5.03402463,1
1718189,0.15584279,0.06311439,0.02097951,0.84415721,1.00000000,1.00122286,0.00029804,1079.0,192.0,22.0,2.16960148,0.43901791,2.08854167,0.30185875,2.04545455,0.20829890,0.99967092,0.00014267,0.99955239,0.00016712,0.99941667,0.00015434,0.99960562,0.00017530,0.99949598,0.00019285,0.99936452,0.00016534,7.18120600,5.04299622,1
1724719,0.15488091,0.06598457,0.02133512,0.84511909,1.00000000,0.99974674,0.00031494,1100.0,204.0,26.0,2.13272727,0.37733734,2.03431373,0.18203377,2.00000000,0.00000000,0.99970414,0.00023439,0.99960699,0.00023997,0.99950428,0.00021519,0.99965285,0.00024665,0.99957034,0.00024851,0.99946928,0.00022607,7.16552727,5.04633988,1
1725016,0.15401233,0.06455477,0.02087670,0.84598767,1.00000000,1.00027118,0.00060199,938.0,156.0,16.0,2.12793177,0.36160060,2.06410256,0.26984058,2.00000000,0.00000000,0.99933244,0.00029588,0.99909842,0.00030814,0.99890933,0.00037853,0.99919466,0.00036128,0.99899980,0.00035518,0.99876938,0.00047480,7.17793291,5.07678249,1
1865042,0.15627358,0.06367908,0.02095767,0.84372642,1.00000000,0.99998832,0.00021794,1136.0,183.0,16.0,2.14612676,0.40868968,2.04371585,0.20446215,2.00000000,0.00000000,0.99978211,0.00013724,0.99970629,0.00012733,0.99962482,0.00011686,0.99974246,0.00014944,0.99967404,0.00013605,0.99960192,0.00012004,7.20843337,4.92122040,1
